chunking_strategy,retrieval_method,k,trial,query_id,query_type,recall_at_k,mrr,ndcg_at_k,hit_at_k,faithfulness,answer_correctness,context_precision,table_integrity,citation_validity,query_latency_ms,query_cost_usd
fixed_size,dense,1,1,q_0001,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3890.162199999395,0.0
fixed_size,dense,3,1,q_0001,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3890.162199999395,0.0
fixed_size,dense,5,1,q_0001,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3890.162199999395,0.0
fixed_size,dense,10,1,q_0001,lore,1.0,1.0,0.9709286432396581,1.0,0.0,0.0,0.0,0.0,0.0,3890.162199999395,0.0
fixed_size,dense,20,1,q_0001,lore,1.0,1.0,0.8841654031934297,1.0,0.0,0.0,0.0,0.0,0.0,3890.162199999395,0.0
fixed_size,dense,1,1,q_0004,lore,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0307999998331,0.0
fixed_size,dense,3,1,q_0004,lore,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0307999998331,0.0
fixed_size,dense,5,1,q_0004,lore,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0307999998331,0.0
fixed_size,dense,10,1,q_0004,lore,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0307999998331,0.0
fixed_size,dense,20,1,q_0004,lore,1.0,0.0625,0.24465054211822604,1.0,0.0,0.0,0.0,0.0,0.0,223.0307999998331,0.0
fixed_size,dense,1,1,q_0005,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,258.80879999931494,0.0
fixed_size,dense,3,1,q_0005,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,258.80879999931494,0.0
fixed_size,dense,5,1,q_0005,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,258.80879999931494,0.0
fixed_size,dense,10,1,q_0005,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,258.80879999931494,0.0
fixed_size,dense,20,1,q_0005,lore,1.0,1.0,0.9221979021492724,1.0,0.0,0.0,0.0,0.0,0.0,258.80879999931494,0.0
fixed_size,dense,1,1,q_0006,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.49500000133412,0.0
fixed_size,dense,3,1,q_0006,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.49500000133412,0.0
fixed_size,dense,5,1,q_0006,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.49500000133412,0.0
fixed_size,dense,10,1,q_0006,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.49500000133412,0.0
fixed_size,dense,20,1,q_0006,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,184.49500000133412,0.0
fixed_size,dense,1,1,q_0007,lore,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.96989999848302,0.0
fixed_size,dense,3,1,q_0007,lore,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.96989999848302,0.0
fixed_size,dense,5,1,q_0007,lore,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,188.96989999848302,0.0
fixed_size,dense,10,1,q_0007,lore,1.0,0.25,0.43067655807339306,1.0,0.0,0.0,0.0,0.0,0.0,188.96989999848302,0.0
fixed_size,dense,20,1,q_0007,lore,1.0,0.25,0.40366349643734134,1.0,0.0,0.0,0.0,0.0,0.0,188.96989999848302,0.0
fixed_size,dense,1,1,q_0008,lore,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.38209999950777,0.0
fixed_size,dense,3,1,q_0008,lore,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,243.38209999950777,0.0
fixed_size,dense,5,1,q_0008,lore,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,243.38209999950777,0.0
fixed_size,dense,10,1,q_0008,lore,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,243.38209999950777,0.0
fixed_size,dense,20,1,q_0008,lore,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,243.38209999950777,0.0
fixed_size,dense,1,1,q_0009,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,221.66230000038922,0.0
fixed_size,dense,3,1,q_0009,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,221.66230000038922,0.0
fixed_size,dense,5,1,q_0009,lore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,221.66230000038922,0.0
fixed_size,dense,10,1,q_0009,lore,1.0,1.0,0.7777061538487877,1.0,0.0,0.0,0.0,0.0,0.0,221.66230000038922,0.0
fixed_size,dense,20,1,q_0009,lore,1.0,1.0,0.7777061538487877,1.0,0.0,0.0,0.0,0.0,0.0,221.66230000038922,0.0
